年,一级品类,二级品类,三级品类,品牌,商品名,商品ID,销量(件),销售额(元),均价(元)
2020,彩妆香水,面部彩妆,粉底液,安美 Amy,Amy/安美小金盖粉底霜养肤粉底液遮瑕保湿持久控油裸妆bb霜女学生,596253857653,42514,2487218,58.5
2020,彩妆香水,面部彩妆,粉底液,OKA,OKA欧咔小方块粉底液养肤轻薄控油持久遮瑕粉底膏BB霜学生平价女,604012717054,28720,2436327,84.8
2020,彩妆香水,面部彩妆,粉底液,RMK,日本RMK水凝粉底液SPF14保湿遮暇自然滋润新版提亮白皙30g丝薄,548460686077,8120,2353335,289.8
2020,彩妆香水,面部彩妆,粉底液,芭集,芭集粉底液长久持妆巴八遮瑕保湿不学生脱妆轻薄水光混油皮,621795827193,17276,2326148,134.6
2020,彩妆香水,面部彩妆,粉底液,ZELENS,【限量礼盒】zelens钻石养肤奶油肌粉底液遮瑕保湿持久干皮Age,624500072903,6175,2323450,376.3
2020,彩妆香水,面部彩妆,粉底液,露华浓 Revlon,露华浓我可以粉底液膏遮瑕保湿持久控油干皮亲妈奶油肌BB霜官方,599580778711,20107,2321410,115.5
2020,彩妆香水,面部彩妆,粉底液,玫珂菲 Make Up For Ever,MAKEUPFOREVER粉底液遮瑕持久保湿玫珂菲浮生若梦养肤双用水粉霜,619721928919,9861,2317978,235.1
2020,彩妆香水,面部彩妆,粉底液,露华浓 Revlon,露华浓我可以粉底液膏遮瑕保湿持久控油玫瑰妆前露保湿隔离奶油肌,611521042590,10112,2314486,228.9
2020,彩妆香水,面部彩妆,粉底液,毛戈平 Maogeping,毛戈平无痕粉膏深海冒险限定款4.5g防水女学生平价赠粉扑官方正品,595070030448,16881,2310393,136.9
2020,彩妆香水,面部彩妆,粉底液,UMT,Pony同款UMT控油长效持久粉底液遮瑕水润保湿不脱妆混油混干挚爱,624742654344,20301,2305334,113.6
2020,彩妆香水,面部彩妆,粉底液,江原道 Koh Gen Do,【11大促礼包 10点开抢】江原道粉底液8ml+卸妆水湿巾*3片+30元券,628118840764,19322,2261806,117.1
2020,彩妆香水,面部彩妆,粉底液,圣罗兰 Yves Saint Laurent（ysl）,【新品】YSL圣罗兰明彩精萃水粉霜 超模精华粉底霜干皮滋润瓷光肌,628167642569,3581,2256030,630
2020,彩妆香水,面部彩妆,粉底液,Dermacol,李佳琦推荐 黛玛蔻dermacol遮瑕膏捷克遮盖痘印黑眼圈遮斑粉底液,609858888107,16177,2238459,138.4
2020,彩妆香水,面部彩妆,粉底液,雅诗兰黛 Estee Lauder,雅诗兰黛沁水双层气垫BB霜 保湿遮瑕 水润奶油肌裸妆 官方正品,579418172791,3772,2225480,590
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,【直播专属】Armani/阿玛尼大师造型紧颜粉底液干皮滋润轻薄遮瑕,618037288813,3500,2205000,630
2020,彩妆香水,面部彩妆,粉底液,RMK,RMK水凝光采粉霜EX30g日本进口光泽粉底控油保湿打底持妆升级版,601896658433,4691,2194529,467.8
2020,彩妆香水,面部彩妆,粉底液,欧莱雅 L'oreal,欧莱雅粉底液24小时控油持久保湿遮瑕提亮裸妆BB霜吸油棒官网正品,572057522228,22721,2189254,96.4
2020,彩妆香水,面部彩妆,粉底液,玫珂菲 Make Up For Ever,MAKEUPFOREVER玫珂菲全新清晰无痕粉底液高清遮瑕轻薄,614078977632,5363,2186070,407.6
2020,彩妆香水,面部彩妆,粉底液,海蓝之谜 Lamer,LA MER海蓝之谜鎏光焕变气垫粉底液防晒保湿遮瑕持久,592937991258,2127,2177050,1023.5
2020,彩妆香水,面部彩妆,粉底液,美宝莲 Maybelline,美宝莲fitme粉底液控油持久遮瑕保湿李佳琦推荐干油皮官方旗舰店,569394759468,23835,2175199,91.3
2020,彩妆香水,面部彩妆,粉底液,美宝莲 Maybelline,美宝莲fitme粉底液遮瑕控油持久不脱妆,612791051884,23288,2169983,93.2
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,【直播专属】ARMANI/阿玛尼黑气垫权力粉底霜遮瑕不脱妆持久油皮,616936719725,3247,2143020,660
2020,彩妆香水,面部彩妆,粉底液,江原道 Koh Gen Do,KohGenDo江原道水漾美肌养肤粉底液 干油皮保湿提亮持久裸妆日本,618386378866,9130,2124347,232.7
2020,彩妆香水,面部彩妆,粉底液,卡姿兰 Carslan,卡姿兰黑金气垫粉底液bb霜保湿遮瑕持久cc霜女控油底妆不脱妆学生,595826198015,15934,2124212,133.3
2020,彩妆香水,面部彩妆,粉底液,香奈儿 美妆 Chanel,【官方正品】CHANEL 香奈儿奢华精萃滋养粉底霜 赋活匀净肤色,594342012974,2013,2113650,1050
2020,彩妆香水,面部彩妆,粉底液,RMK,RMK丝薄粉底液30ml 轻薄持久伪素颜神器遮瑕保湿粉底霜水凝,618803052445,7466,2099454,281.2
2020,彩妆香水,面部彩妆,粉底液,玫珂菲 Make Up For Ever,MAKE UP FOR EVER玫珂菲丝绒无瑕持妆粉底霜 遮瑕持久油皮,599130543917,8761,2094096,239
2020,彩妆香水,面部彩妆,粉底液,露华浓 Revlon,露华浓粉底液持久遮瑕24小时保湿控油干皮油皮奶油肌BB霜水润养肤,611662360683,25318,2088842,82.5
2020,彩妆香水,面部彩妆,粉底液,娜斯 Nars,【官方正品】NARS 水凝光润气垫粉饼 遮瑕裸妆轻薄不易脱妆,593878311092,4346,2086080,480
2020,彩妆香水,面部彩妆,粉底液,美肤宝 Meifubao,美肤宝粉底液遮瑕保湿持久油皮控油bb霜女学生平价官方旗舰店正品,624308081235,47724,2064006,43.2
2020,彩妆香水,面部彩妆,粉底液,珂芙缦 Covermark,【官方正品】COVERMARK中草粉霜20g修护粉底霜傲丽 日本养肤防晒,523962985022,5979,2062755,345
2020,彩妆香水,面部彩妆,粉底液,PAESE,paese派斯沁肤粉底液女干皮美白水润保湿持久学生平价官方正品,591678836736,29685,2054714,69.2
2020,彩妆香水,面部彩妆,粉底液,肌肤之钥 Cle de peau beaute,CPB肌肤之钥光缎粉底霜钻光保湿遮瑕不脱妆粉底液粉霜持久30ml,550376957329,2769,2050591,740.6
2020,彩妆香水,面部彩妆,粉底液,美宝莲 Maybelline,美宝莲fitme粉底液遮瑕保湿持久定制水感控油不脱妆哑光油皮粉底,595751407349,19790,2047389,103.5
2020,彩妆香水,面部彩妆,粉底液,深蓝彩妆 Bleunuit,深蓝黑魅润泽粉底液干皮油皮轻薄控油遮瑕保湿持久不脱妆水润彩妆,35324771622,11805,2034764,172.4
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,【直播专属】Armani/阿玛尼红气垫精华粉底液遮瑕保湿持妆控油,618855099973,3225,2031750,630
2020,彩妆香水,面部彩妆,粉底液,ZFC,ZFC粉底膏 遮瑕膏粉底液遮瑕保湿持久影楼湿粉底化妆品旗舰店正品,527263610038,60223,2022819,33.6
2020,彩妆香水,面部彩妆,粉底液,菲诗小铺 The Face Shop,菲诗小铺fmgt水墨持妆粉底液干油皮水润保湿遮瑕套装,608101832903,24567,1994263,81.2
2020,彩妆香水,面部彩妆,粉底液,左香 Zoo·son,第二件10元 左香粉底液持久保湿遮瑕膏水润控油裸妆bb霜女学生,614439837458,82653,1982642,24
2020,彩妆香水,面部彩妆,粉底液,Anastasia Beverly Hills,美国Anastasia奶油肌ABH光感粉底液柔焦雾感超长持妆轻薄遮瑕保湿,600050802421,9041,1971212,218
2020,彩妆香水,面部彩妆,粉底液,肌肤之钥 Cle de peau beaute,【入会加享】肌肤之钥CPB气垫 光润气垫精华水粉底自然替换芯B,603960334727,3854,1927000,500
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,【618礼遇】Armani/阿玛尼权力粉底液水润轻薄遮瑕持久不脱妆,565213591213,3305,1916960,580
2020,彩妆香水,面部彩妆,粉底液,迪奥 美妆 Dior,Dior/迪奥forever凝脂恒久老花纹 CD气垫粉底液持久锁妆保湿遮瑕,557248157283,3868,1908466,493.4
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,【直播专属】Armani/阿玛尼大师造型紧颜粉底液干皮滋润轻薄遮瑕,618855111762,3029,1908270,630
2020,彩妆香水,面部彩妆,粉底液,INTEGRATE,【新】INTEGRATE日本资生堂INTEGRATE完美意境粉底霜持久控油遮瑕,627216923174,18539,1884961,101.7
2020,彩妆香水,面部彩妆,粉底液,凯朵 Kate,KATE凯朵美肌隐形粉底液自然遮瑕轻薄裸妆持久保湿控油bb正品男女,585858624737,16662,1881054,112.9
2020,彩妆香水,面部彩妆,粉底液,Color Candy/糖果彩色,colorcandy糖果彩色钻石养肤粉底液控油持久遮瑕保湿混干皮不脱妆,629242361769,8046,1880912,233.8
2020,彩妆香水,面部彩妆,粉底液,完美日记 Perfect Diary,【专用】完美日记双11天赋干皮粉底液,629006629677,15500,1866230,120.4
2020,彩妆香水,面部彩妆,粉底液,羽西 Yue-sai,【21日0点开抢】羽西虫草粉底霜 玻色因养肤遮暇粉底液保湿服帖,578227298373,8756,1865119,213
2020,彩妆香水,面部彩妆,粉底液,美宝莲 Maybelline,屈臣氏美宝莲fitme柔雾粉底液油皮BB霜正品轻薄保湿遮瑕持久控油,610674321706,17959,1859559,103.5
